Location Name,BEDS Number,Zip
P.S. 134 Hollis,342900010134,11412
The Bellaire School,342900010135,11427
P.S. 136 Roy Wilkins,342900010136,11412
P.S./M.S. 138 Sunrise,342900010138,11422
P.S./M.S. 147 Ronald McNair,342900010147,11411
P.S. 156 Laurelton,342900010156,11413
P.S. 176 Cambria Heights,342900010176,11411
P.S. 181 Brookfield,342900010181,11413
I.S. 192 The Linden,342900010192,11412
P.S. 195 William Haberle,342900010195,11422
P.S./I.S. 208,342900010208,11426
I.S. 238 - Susan B. Anthony Academy,342900010238,11423
Institute for Health Professions at Cambria Heights,342900011243,11411
Queens Preparatory Academy,342900011248,11413
P.S. 251 Queens,342900010251,11413
Pathways College Preparatory School: A College Board School,342900011259,11412
Excelsior Preparatory High School,342900011265,11413
P.S./I.S. 268,342900010268,11433
The Gordon Parks School,342900010270,11422
George Washington Carver High School for the Sciences,342900011272,11413
Preparatory Academy for Writers: A College Board School,342900011283,11413
Queens United Middle School,342900010289,11413
P.S./I.S. 295,342900010295,11428
Benjamin Franklin High School for Finance & Information Technology,342900011313,11411
Cambria Heights Academy,342900011326,11423
Eagle Academy for Young Men III,342900011327,11434
Collaborative Arts Middle School,342900010355,11413
Community Voices Middle School,342900010356,11413
P.S. 360,342900010360,11412
Pre-K Center District 29,,11432
"Mathematics, Science Research and Technology Magnet High School",342900011492,11411
"Law, Government and Community Service High School",342900011494,11411
"Business, Computer Applications & Entrepreneurship High School",342900011496,11411
Humanities & Arts Magnet High School,342900011498,11411
P.S. 002 Alfred Zimberg,343000010002,11370
I.S. 010 Horace Greeley,343000010010,11103
P.S. 011 Kathryn Phelan,343000010011,11377
P.S. 017 Henry David Thoreau,343000010017,11102
P.S. 069 Jackson Heights,343000010069,11372
P.S. 070,343000010070,11103
P.S. 076 William Hallet,343000010076,11106
P.S./I.S. 78Q,343000010078,11109
P.S. 084 Steinway,343000010084,11105
P.S. 085 Judge Charles Vallone,343000010085,11105
P.S. 092 Harry T. Stewart Sr.,343000010092,11368
P.S. 111 Jacob Blackwell,343000010111,11101
P.S. 112 Dutch Kills,343000010112,11101
P.S. 122 Mamie Fay,343000010122,11105
Albert Shanker School for Visual and Performing Arts,343000010126,11106
P.S. 127 Aerospace Science Magne,343000010127,11369
I.S. 141 The Steinway,343000010141,11105
I.S. 145 Joseph Pulitzer,343000010145,11372
P.S. 148 Queens,343000010148,11369
P.S. 149 Christa Mcauliffe,343000010149,11372
P.S. 150 Queens,343000010150,11104
P.S. 151 Mary D. Carter,343000010151,11377
P.S. 152 Gwendoline N. Alleyne School,343000010152,11377
P.S. 166 Henry Gradstein,343000010166,11106
P.S. 171 Peter G. Van Alst,343000010171,11102
I.S. 204 Oliver W. Holmes,343000010204,11106
P.S. 212,343000010212,11372
P.S. Q222 - Fire Fighter Christopher A. Santora School,343000010222,11372
I.S. 227 Louis Armstrong,343000011227,11369
P.S. 228 Early Childhood Magnet School of the Arts,343000010228,11369
I.S. 230,343000010230,11372
P.S. 234,343000010234,11102
Academy for New Americans,343000010235,11102
Energy Tech High School,343000011258,11106
P.S. 280,343000010280,11372
"Young Women's Leadership School, Astoria",343000011286,11102
Hunters Point Community Middle School,343000010291,11101
The 30th Avenue School (G&T Citywide),343000010300,11102
Academy for Careers in Television and Film,343000011301,11101
East Elmhurst Community School,343000010329,11369
The Woodside Community School,343000010361,11377
Pre-K Center District 30,,11369
William Cullen Bryant High School,343000011445,11103
Long Island City High School,343000011450,11106
Frank Sinatra School of the Arts High School,343000011501,11106
Information Technology High School,343000011502,11101
Newcomers High School,343000011555,11101
Academy of American Studies,343000011575,11101
Baccalaureate School for Global Education,343000011580,11106
P.S. 001 Tottenville,353100010001,10307
I.S. R002 George L. Egbert,353100010002,10306
P.S. 003 The Margaret Gioiosa School,353100010003,10309
P.S. 004 Maurice Wollin,353100010004,10312
P.S. 005 Huguenot,353100010005,10312
P.S. 6 Corporal Allan F. Kivlehan School,353100010006,10307
I.S. 007 Elias Bernstein,353100010007,10312
P.S. 8 Shirlee Solomon,353100010008,10308
Naples Street Elementary School,353100010009,10304
Fort Hill Collaborative Elementary School,353100010010,10301
P.S. 11 Thomas Dongan School,353100010011,10304
P.S. 013 M. L. Lindemeyer,353100010013,10305
P.S. 016 John J. Driscoll,353100010016,10301
P.S. 018 John G. Whittier,353100010018,10310
P.S. 019 The Curtis School,353100010019,10310
P.S. 020 Port Richmond,353100010020,10302
P.S. 21 Margaret Emery-Elm Park,353100010021,10303
P.S. 022 Graniteville,353100010022,10303
P.S. 023 Richmondtown,353100010023,10306
I.S. 024 Myra S. Barnes,353100010024,10308
P.S. 026 The Carteret School,353100010026,10314
I.S. 027 Anning S. Prall,353100010027,10310
The Eagle Academy for Young Men of Staten Island,353100010028,10304
P.S. 029 Bardwell,353100010029,10314
P.S. 030 Westerleigh,353100010030,10314
P.S. 031 William T. Davis,353100010031,10301
P.S. 032 The Gifford School,353100010032,10308
I.S. 034 Tottenville,353100010034,10307
P.S. 35 The Clove Valley School,353100010035,10301
P.S. 036 J. C. Drumgoole,353100010036,10312
P.S. 038 George Cromwell,353100010038,10306
P.S. 39 Francis J. Murphy Jr.,353100010039,10305
The Stephanie A. Vierno School,353100010041,10306
P.S. 042 Eltingville,353100010042,10312
P.S. 044 Thomas C. Brown,353100010044,10303
P.S. 045 John Tyler,353100010045,10310
P.S. 046 Albert V. Maniscalco,353100010046,10305
CSI High School for International Studies,353100011047,10314
P.S. 048 William G. Wilcox,353100010048,10304
I.S. 49 Berta A. Dreyfus,353100010049,10304
P.S. 050 Frank Hankinson,353100010050,10306
I.S. 051 Edwin Markham,353100010051,10302
P.S. 052 John C. Thompson,353100010052,10305
P.S. 053 The Barbara Esselborn School,353100010053,10308
P.S. 054 Charles W. Leng,353100010054,10314
P.S. 055 Henry M. Boehm,353100010055,10312
P.S. 56 The Louis Desario School,353100010056,10309
P.S. 057 Hubert H. Humphrey,353100010057,10304
Space Shuttle Columbia School,353100010058,10314
The Harbor View School,353100010059,10301
P.S. 060 Alice Austen,353100010060,10314
I.S. 061 William A Morris,353100010061,10301
The Kathleen Grimm School for Leadership and Sustainability,353100010062,10309
Marsh Avenue School for Expeditionary Learning,353100010063,10314
Gaynor McCown Expeditionary Learning School,353100011064,10314
P.S. 65 The Academy of Innovative Learning,353100010065,10301
Pre-K Center District 31,,10302
P.S. 069 Daniel D. Tompkins,353100010069,10314
I.S. 072 Rocco Laurie,353100010072,10314
P.S. 74 Future Leaders Elementary School,353100010074,10301
I.S. 075 Frank D. Paulo,353100010075,10312
P.S. 78,353100010078,10304
The Michael J. Petrides School,353100011080,10301
New Dorp High School,353100011440,10306
Port Richmond High School,353100011445,10302
Curtis High School,353100011450,10301
Tottenville High School,353100011455,10312
Susan E. Wagner High School,353100011460,10314
Concord High School,353100011470,10304
Ralph R. McKee Career and Technical Education High School,353100011600,10301
Staten Island Technical High School,353100011605,10306
Staten Island School of Civic Leadership,353100010861,10314
P.S./I.S. 045 Horace E. Greene,333200010045,11207
P.S. 075 Mayda Cortiella,333200010075,11221
P.S. 086 The Irvington,333200010086,11237
P.S. 106 Edward Everett Hale,333200010106,11221
P.S. 116 Elizabeth L Farrell,333200010116,11237
P.S. 123 Suydam,333200010123,11237
P.S. 145 Andrew Jackson,333200010145,11206
P.S. 151 Lyndon B. Johnson,333200010151,11207
J.H.S. 162 The Willoughby,333200010162,11237
The Brooklyn School for Math and Research,333200011168,11237
P.S. 274 Kosciusko,333200010274,11221
J.H.S. 291 Roland Hayes,333200010291,11221
P.S. 299 Thomas Warren Field,333200010299,11221
I.S. 347 School of Humanities,333200010347,11221
"I.S. 349 Math, Science & Tech.",333200010349,11221
P.S. 376,333200010376,11237
P.S. 377 Alejandrina B. De Gautier,333200010377,11221
J.H.S. 383 Philippa Schuyler,333200010383,11237
P.S. /I.S. 384 Frances E. Carter,333200010384,11207
Academy for Environmental Leadership,333200011403,11237
EBC High School for Public Service - Bushwick,333200011545,11221
Bushwick School for Social Justice,333200011549,11237
Academy of Urban Planning,333200011552,11237
All City Leadership Secondary School,333200011554,11237
Bushwick Leaders High School for Academic Excellence,333200011556,11221
Evergreen Middle School for Urban Exploration,333200010562,11207
Bushwick Community High School,333200010564,11221
P.S. K004,307500013004,11207
P.S. 36,307500013036,11207
P.S. K053,307500013053,11215
P.S. K077,307500013077,11235
P.S. K140,307500013140,11216
P.S. K141,307500013141,11226
P.S. K231,307500013231,11204
P.S. 368,307500013368,11206
P.S. K369 - Coy L. Cox School,307500013369,11217
P.S. 370,307500013370,11224
P.S. 371 - Lillian L. Rashkis,307500013371,11232
P.S. 372 -The Children's School,307500013372,11215
P.S. 373 - Brooklyn Transition Center,307500013373,11206
P.S. K396,307500013396,11212
P.S. K721 - Brooklyn Occupational Training Center,307500013721,11223
P.S. K753 - School for Career Development,307500013753,11238
P.S. K771,307500013771,11235
P.S. K811 Connie Lekas School,307500013811,11235
P.S. 035,307500011035,10019
P.S. M079 - Horan School,307500011079,10035
P.S. M094,307500011094,10280
P.S. 138,307500011138,10035
P.S. M169 - Robert F. Kennedy,307500011169,10128
P.S. M226,307500011226,10003
Hospital Schools,307500011401,10465
Home Instruction,307500010000,10014
P.S. M721 - Manhattan Occupational Training Center,307500011721,10014
Manhattan School for Career Development,307500011751,10003
P.S. M811 - Mickey Mantle School,307500011811,10024
P.S. Q004,307500014004,11365
P.S. 009,307500014009,11378
P.S. Q023 @ Queens Children Center,307500014023,11426
Robert E. Peary School,307500014075,11385
P.S. Q177,307500014177,11365
P.S. Q224,307500014224,11426
P.S. Q233,307500014233,11375
P.S. Q255,307500014255,11366
P.S. Q256,307500014256,11791
The Riverview School,307500014277,11101
John F. Kennedy Jr. School,307500014721,11373
Queens Transition Center,307500014752,11436
P.S. Q811,307500014811,11362
P.S. Q993,307500014993,11001
South Richmond High School I.S./P.S. 25,307500015025,10309
P.S. R037,307500015037,10308
P.S. R373,307500015373,10301
The Richard H. Hungerford School,307500015721,10304
P.S. X010,307500012010,10465
P.S. X012 Lewis and Clark School,307500012012,10461
P.S. X017,307500012017,10456
P.S. 168,307500012168,10451
P.S. X176,307500012176,10475
P186X Walter J. Damrosch School,307500012186,10459
P.S. X188,307500012188,10460
The Vida Bogart School for All Children,307500012352,10459
P469X - The Bronx School for Continuous Learners,307500012469,10467
P.S. X721 - Stephen McSweeney School,307500012721,10461
P.S. 723,307500012723,10475
J. M. Rapport School Career Development,307500012754,10455
P.S. X811,307500012811,10459
Beginning with Children Charter School II,331400861021,11206
Success Academy Charter School - Bed-Stuy 2,331400861022,11206
Success Academy Charter School - Cobble Hill,331500861023,11201
Success Academy Charter School - Williamsburg,331400861024,11211
Explore Exceed Charter School,331700861027,11238
Williamsburg Collegiate Charter School,331400860885,11211
Achievement First Crown Heights Charter School,331700860879,11203
KIPP AMP Charter School,331700860882,11213
Achievement First East New York Charter School,331900860880,11207
The Uft Charter School,331900860891,11207
Launch Expeditionary Learning Charter School,331600861003,11213
Hellenic Classical Charter School,331500860878,11215
Success Academy Charter School - Bed-Stuy 1,331400861007,11206
Explore Excel Charter School,331800860702,11236
Invictus Preparatory Charter School,331900860997,11208
Roads Charter School I,332300861007,11233
Teaching Firms of America-Professional Preparatory Charter School,331600860975,11221
Urban Dove Charter School,331300861006,11216
Williamsburg Charter High School,331400860865,11206
New Dawn Charter High School,331500861016,11217
Achievement First Endeavor Charter School,331300860902,11238
Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,331300860901,11216
Community Roots Charter School,331300860893,11205
Achievement First Bushwick Charter School,333200860906,11237
Excellence Boys Charter School,331600860860,11233
Kings Collegiate Charter School,331800860908,11212
Achievement First Brownsville Charter School,332300860912,11233
Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School,331600860918,11221
La Cima Charter School,331600860924,11221
PAVE Academy Charter School,331500860927,11231
Brooklyn Ascend Charter School,331800860916,11212
Achievement First Aspire Charter School,331900860993,11208
Citizens of the World Charter School 1 Williamsburg,331400861036,11222
Citizens of the World Charter School New York 2 Crown Heights,331700861037,11213
Northside Charter High School,331400860945,11222
Brooklyn Charter School,331400860809,11206
Community Partnership Charter School,331300860810,11205
Beginning With Children Charter School,331400860825,11205
Explore Charter School,331700860841,11226
Brooklyn Prospect Charter School,331500860935,11218
Brownsville Collegiate Charter School,332300860939,11212
Leadership Preparatory Brownsville Charter School,332300860942,11212
Excellence Girls Charter School,331600860938,11221
Leadership Prep Canarsie Charter School (Leadership Prep CS 4),331700860943,11236
Fahari Academy Charter School,331700860951,11226
Summit Academy Charter School,331500860953,11231
Brooklyn Excelsior Charter School,331600860847,11221
"Math, Engineering, and Science Academy Charter High School",333200861059,11221
New American Academy Charter School,331800861057,11203
Brownsville Ascend Charter School,332300860954,11212
New Visions Charter High School for Advanced Math and Science III,332200861053,11235
New Visions Charter High School for the Humanities III,332200861051,11235
Brooklyn Scholars Charter School,331900860958,11208
Success Academy Crown Heights (Brooklyn 7),331700861041,11225
Explore Empower Charter School,331700860950,11213
Coney Island Preparatory Public Charter School,332100860949,11224
Hebrew Language Academy Charter School,332200860955,11234
Success Academy Fort Greene (Brooklyn 5),331300861039,11205
Success Academy Prospect Heights (Brooklyn 6),331700861040,11216
Unity Prep Charter School,331300861056,11221
Brooklyn Urban Garden Charter School,331500861011,11215
Canarsie Ascend Charter School,331800861033,11236
The International Charter School of New York,331300861079,11201
Hyde Leadership Charter School- Brooklyn,331900860972,11207
Success Academy Charter School - Bensonhurst - New York 3,332100861075,11204
Achievement First Apollo Charter School,331900860933,11208
Leadership Preparatory Ocean Hill Charter School,332300860941,11212
Ocean Hill Collegiate Charter School,332300860936,11233
Brooklyn East Collegiate Charter School,331300860937,11238
Success Academy Charter School - Bergen Beach - New York 4,332200861076,11234
Bedford Stuyvesant New Beginnings Charter School,331600860971,11206
Achievement First North Brooklyn Prep Charter School,333200861045,11221
Imagine Me Leadership Charter School,331900860973,11207
Achievement First Linden Elementary School,331900861072,11207
Compass Charter School,331300861066,11205
Central Brooklyn Ascend Charter School,332300861050,11212
Brooklyn Dreams Charter School,332200860978,11230
The Cultural Arts Academy at Spring Creek Charter School,331800860988,11212
Bushwick Ascend Charter School,333200860987,11221
Lefferts Gardens Charter School,331700860967,11226
New Hope Academy Charter School,331800860983,11203
Brooklyn LABCharter School,331300861063,11201
Democracy Prep Endurance Charter School,310500861001,10027
KIPP Washington Heights Middle School,310600861013,10032
Manhattan Charter School II,310100861031,10002
Global Community Charter School,310500861012,10037
Neighborhood Charter School of Harlem,310500861015,10027
East Harlem Scholars Academy Charter School II,310400861046,10029
Success Academy Hell's Kitchen (Manhattan 2),310200861043,10019
Success Academy Union Square (Manhattan 1),310200861042,10003
Harlem Hebrew Language Charter School,310300861034,10026
Great Oaks Charter School,310100861055,10002
Success Academy Charter School - Washington Heights - New York 1,310600861073,10040
The Opportunity Charter School,310300860871,10026
Harlem Children's Zone Promise Academy 1 Charter School,310500860864,10027
Manhattan Charter School,310100860873,10002
Harlem Link Charter School,310300860875,10026
Girls Preparatory Charter School of New York,310100860866,10002
Harlem Village Academy Leadership Charter School,310400860849,10035
KIPP Infinity Charter School,310500860883,10027
New York Center for Autism Charter School,310400861061,10029
Harlem Children's Zone Promise Academy II Charter School,310500860886,10035
Democracy Prep Charter School,310500860894,10037
Success Academy Charter School - Harlem 1,310300860897,10026
New Heights Academy Charter School,310600860887,10031
DREAM Charter School,310400860919,10029
Success Academy Charter School - Harlem 2,310500860921,10035
Success Academy Charter School - Harlem 3,310400860922,10029
Success Academy Charter School - Harlem 4,310300860923,10026
St. HOPE Leadership Academy Charter School,310500860928,10030
The Equity Project Charter School (TEP),310600860929,10040
Renaissance Charter High School for Innovation,310400860968,10029
Inwood Academy for Leadership Charter School,310600860966,10034
Democracy Prep Harlem Charter School,310500860989,10030
Success Academy Charter School - Harlem 5,310500860979,10030
New York French American Charter School,310300860963,10027
East Harlem Scholars Academy Charter School,310400860995,10029
Broome Street Academy Charter School,310200860992,10013
Success Academy Charter School - Upper West,310300861008,10024
Sisulu-Walker Charter School of Harlem,310300860804,10026
Harbor Science and Arts Charter School,310400860812,10029
Amber Charter School,310400860806,10029
John V. Lindsay Wildcat Academy Charter School,310200860819,10004
Harlem Prep Charter School,310400860840,10035
Harlem Village Academy Charter School,310500860848,10030
KIPP STAR College Prep Charter School,310500860858,10027
Future Leaders Institute Charter School,310300860881,10027
Central Queens Academy Charter School,342400861025,11373
Peninsula Preparatory Academy Charter School,342700860869,11691
Middle Village Prep Charter School,342400861048,11379
VOICE Charter School of New York,343000860932,11106
New Visions Charter High School for Advanced Math and Science IV,342700861054,11434
Growing Up Green Charter School,343000860952,11101
Success Academy Charter School - Rosedale - New York 5,342900861077,11422
Success Academy Charter School - Springfield Gardens - New York 6,342900861078,11413
Challenge Preparatory Charter School,342700860990,11691
Riverton Street Charter School,342900860974,11412
Rochdale Early Advantage Charter School,342800860969,11434
Academy of the City Charter School,343000860998,11377
Merrick Academy - Queens Public Charter School,342900860821,11413
Renaissance Charter School,343000860822,11372
Our World Neighborhood Charter School,343000860836,11106
New Ventures Charter School,353100861083,10311
John W. Lavelle Preparatory Charter School,353100860959,10311
Staten Island Community Charter School,353100860964,10304
New World Preparatory Charter School,353100860984,10302
Children's Aid College Prep Charter School,321200861026,10457
Icahn Charter School 6,320900861029,10457
Grand Concourse Charter School,320800860872,10465
Mott Hall Charter School,320900861004,10456
Bronx Lighthouse Charter School,321200860870,10459
ROADS Charter School II,321200861010,10459
New Visions Charter High School for Advanced Math and Science II,320800861017,10456
New Visions Charter High School for the Humanities II,320700861018,10455
Family Life Academy Charter School II,320700861028,10454
Bronx Charter School for Excellence,321100860859,10462
Heketi Community Charter School,320700860703,10454
Tech International Charter School,321000861032,10463
South Bronx Charter School for International Cultures and the Arts,320700860889,10454
Hyde Leadership Charter School,320800860903,10474
South Bronx Classical Charter School,321200860898,10459
International Leadership Charter High School,321000860904,10463
Icahn Charter School 7,320800861030,10473
South Bronx Classical Charter School II,320700861035,10454
Icahn Charter School 2,321100860909,10462
Success Academy Charter School - Bronx 3,320800861044,10456
Brilla College Prep Charter School,320700861014,10454
Bronx Global Learning Institute for Girls Charter School,320700860915,10451
University Prep Charter High School,320700860920,10455
Mott Haven Academy Charter School,320700860925,10454
"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",320700860926,10451
Bronx Community Charter School,321000860914,10467
Bronx Charter School for Children,320700860852,10454
Bronx Academy of Promise Charter School,321100860917,10452
Icahn Charter School 3,320900860917,10461
Charter High School for Law and Social Justice,321100861064,10461
Atmosphere Charter School,321000861075,10463
Metropolitan Lighthouse Charter School,320700860962,10452
Success Academy Charter School - Bronx 4 - New York 2,320800861074,10473
Boys Preparatory Charter School of New York,320800860994,10473
American Dream Charter School,320700861062,10454
Family Life Academy Charter School III,320700861070,10454
Dr. Richard Izquierdo Health and Science Charter School,321200860965,10456
Bronx Charter School for Better Learning II,321100861076,10469
Rosalyn Yalow Charter School,321000861073,10456
Girls Preparatory Charter School of the Bronx,320800860940,10455
The Equality Charter School,321100860956,10475
South Bronx Classical Charter School III,320900861084,10456
Academic Leadership Charter School,320700860957,10454
South Bronx Early College Academy Charter School,320700861068,10454
Success Academy Charter School - Bronx 1,320700860981,10451
Success Academy Charter School - Bronx 2,320900860980,10456
Icahn Charter School 4,321100860948,10461
Storefront Academy Charter School,320700861080,10454
Icahn Charter School 5,321100860982,10461
New Visions Charter High School for Advanced Math and Science,321000860999,10463
New Visions Charter High School for the Humanities,321000860704,10463
New York City Montessori Charter School,320700861005,10454
Bronx Preparatory Charter School,320900860807,10457
KIPP Academy Charter School,320700860820,10451
Family Life Academy Charter School,320900860839,10452
Harriet Tubman Charter School,320900860823,10456
Icahn Charter School,320900860835,10457
Bronx Charter School for Better Learning,321100860855,10466
Bronx Charter School for the Arts,320800860846,10474
