DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
20K179,P.S. 179 KENSINGTON,416,293.3197,169,143,74,30,397,286.2746,188,136,55,18
20K180,THE SEEALL ACADEMY,738,318.0095,122,221,233,162,761,306.3509,156,307,224,74
20K185,P.S. 185 WALTER KASSENBROCK,380,322.5,44,102,128,106,377,313.2095,72,129,108,68
20K186,P.S. 186 DR. IRVING A GLADSTONE,459,323.0741,60,122,129,148,449,308.8018,89,160,154,46
20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,763,368.1468,8,6,62,687,928,345.542,12,59,287,570
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,348,302.3132,101,123,87,37,347,295.8098,115,151,62,19
20K200,P.S. 200 BENSON SCHOOL,602,319.4336,95,169,165,173,586,304.6451,167,187,161,71
20K201,J.H.S. 201 THE DYKER HEIGHTS,1219,324.8294,131,359,363,366,1415,316.0495,161,500,489,265
20K204,P.S. 204 VINCE LOMBARDI,526,327.5608,73,106,150,197,510,313.3863,103,151,170,86
20K205,P.S. 205 CLARION,396,314.5505,81,107,109,99,391,303.6777,101,144,109,37
20K220,J.H.S. 220 JOHN J. PERSHING,1295,309.8077,300,466,344,185,1244,288.0949,480,522,203,39
20K223,J.H.S. 223 THE MONTAUK,795,306.4906,201,297,203,94,816,288.8407,316,327,139,34
20K227,J.H.S. 227 EDWARD B. SHALLOW,1322,307.4788,345,475,316,186,1253,291.5555,424,526,243,60
20K229,P.S. 229 DYKER,656,337.718,50,128,159,319,684,320.9298,68,233,227,156
20K247,P.S. 247 BROOKLYN,369,335.9133,21,65,117,166,360,317.2167,46,128,130,56
20K259,J.H.S. 259 WILLIAM MCKINLEY,1415,326.6459,175,392,408,440,1371,310.1393,240,513,394,224
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,57,309.4737,13,15,23,6,56,302.9286,20,12,19,5
20K310,THE SCHOOL FOR FUTURE LEADERS,91,322.4066,7,24,36,24,88,298.6136,30,30,27,1
20K503,PS 503: THE SCHOOL OF DISCOVERY,461,294.1866,186,147,90,38,448,288.3549,208,153,73,14
20K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,355,309.738,74,127,94,60,346,290.841,141,144,56,5
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,155,301.3548,49,55,38,13,152,304.1053,32,66,41,13
20K682,THE ACADEMY OF TALENTED SCHOLARS,168,332.4583,11,30,55,72,169,322.142,16,49,77,27
20K686,BROOKLYN SCHOOL OF INQUIRY,184,343.7228,3,22,57,102,184,337.0707,4,34,80,66
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,141,343.383,8,10,40,83,141,337.1135,10,15,63,53
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",53,283.6981,29,11,10,3,52,263.1923,36,11,5,0
21K090,P.S. 90 EDNA COHEN SCHOOL,258,298.1085,84,96,61,17,255,291.6,105,104,41,5
21K095,P.S. 095 THE GRAVESEND,514,314.5,110,151,134,119,507,304.215,135,185,136,51
21K096,I.S. 096 SETH LOW,626,301.9441,210,211,139,66,597,291.6198,219,248,102,28
21K097,P.S. 97 THE HIGHLAWN,378,323.6349,57,87,114,120,367,307.97,103,108,111,45
21K098,I.S. 98 BAY ACADEMY,1333,348.6182,8,140,422,763,1332,330.0871,28,314,572,418
21K099,P.S. 099 ISAAC ASIMOV,489,306.0491,152,144,103,90,499,294.3868,191,177,88,43
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,326,328.6258,26,82,107,111,320,321.9188,33,90,136,61
21K101,P.S. 101 THE VERRAZANO,443,326.3454,62,93,134,154,434,311.2097,91,140,150,53
21K121,P.S. 121 NELSON A. ROCKEFELLER,187,311.6631,39,60,59,29,183,303.1639,48,71,57,7
21K128,P.S. 128 BENSONHURST,182,307.3791,39,66,50,27,176,296.983,54,74,40,8
21K153,P.S. 153 HOMECREST,240,314.9417,46,71,73,50,229,305.6987,62,75,67,25
21K177,P.S. 177 THE MARLBORO,426,314.8826,87,123,122,94,415,302.3373,121,150,114,30
21K188,P.S. 188 MICHAEL E. BERDY,255,283.0039,148,66,22,19,255,281.9059,139,86,26,4
21K199,P.S. 199 FREDERICK WACHTEL,229,320.8515,25,62,82,60,225,307.4044,54,72,75,24
21K209,P.S. 209 MARGARET MEAD,366,308.1967,85,128,98,55,379,296.3166,125,149,85,20
21K212,P.S. 212 LADY DEBORAH MOODY,251,305.2032,72,88,51,40,245,297.8571,87,87,60,11
21K215,P.S. 215 MORRIS H. WEISS,396,329.1717,41,92,111,152,395,318.4835,62,121,131,81
21K216,P.S. 216 ARTURO TOSCANINI,219,315.0548,50,56,53,60,218,309.1376,50,77,60,31
21K225,P.S. K225 - THE EILEEN E. ZAGLIN,582,300.0498,191,194,140,57,564,292.2784,209,235,98,22
21K226,P.S. 226 ALFRED DE B.MASON,537,312.5438,120,159,149,109,542,302.7066,139,214,144,45
21K228,I.S. 228 DAVID A. BOODY,1024,309.6836,226,372,276,150,998,297.5812,258,468,214,58
21K238,P.S. 238 ANNE SULLIVAN,281,295.5409,105,107,47,22,284,294.5915,89,137,50,8
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,1020,345.1696,32,175,248,565,1229,339.8055,27,186,393,623
21K253,P.S. 253,345,317.9101,45,115,108,77,331,304.6707,91,133,80,27
21K281,I.S. 281 JOSEPH B CAVALLARO,1004,306.5886,248,390,233,133,1098,299.1375,290,488,231,89
21K288,P.S. 288 THE SHIRLEY TANYHILL,227,289.793,101,91,29,6,227,283.4493,114,88,22,3
21K303,I.S. 303 HERBERT S. EISENBERG,475,303.8926,145,174,92,64,543,300.5691,125,265,120,33
21K329,P.S. 329 SURFSIDE,207,290.0193,89,74,35,9,206,287.7184,108,57,31,10
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,170,307.6647,30,84,43,13,198,303.399,40,98,48,12
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,210,303.3762,48,96,61,5,226,304.2212,47,93,78,8
22K014,J.H.S. 014 SHELL BANK,488,291.2992,208,191,66,23,503,284.8966,214,236,40,13
22K052,P.S. 052 SHEEPSHEAD BAY,360,315.4389,78,96,89,97,350,305.0571,97,118,86,49
22K078,J.H.S. 078 ROY H. MANN,815,284.9558,406,306,82,21,859,286.844,366,369,102,22
22K109,P.S. 109,368,280.9293,202,130,33,3,364,286.7005,156,151,50,7
22K119,P.S. 119 AMERSFORT,287,302.7282,90,101,66,30,283,297.7668,96,115,62,10
22K134,P.S. K134,234,330.1154,16,62,69,87,225,314.4667,41,84,63,37
22K139,P.S. 139 ALEXINE A. FENTY,478,302.954,122,187,112,57,471,297.0998,160,184,98,29
22K152,SCHOOL OF SCIENCE & TECHNOLOGY,381,294.6614,138,155,65,23,381,292.4226,158,139,65,19
22K193,P.S. 193 GIL HODGES,400,300.4625,134,117,100,49,393,307.9338,92,145,114,42
22K194,P.S. 194 RAOUL WALLENBERG,198,292.5909,86,66,32,14,196,287.5459,97,62,32,5
22K195,P.S. 195 MANHATTAN BEACH,192,332.9948,10,44,63,75,188,321.7234,19,57,78,34
22K197,P.S. 197 - THE KINGS HIGHWAY ACADEMY,255,314.2706,44,82,73,56,239,305.5188,64,82,69,24
22K198,P.S. 198 BROOKLYN,222,296.009,73,100,41,8,221,300.3394,69,83,57,12
22K203,P.S. 203 FLOYD BENNETT SCHOOL,344,297.4884,122,118,73,31,338,298.1124,99,154,71,14
22K206,P.S. 206 JOSEPH F LAMB,809,326.2596,92,187,271,259,831,312.7365,146,289,266,130
22K207,P.S. 207 ELIZABETH G. LEARY,820,316.6732,105,311,256,148,818,314.632,129,278,283,128
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,586,312.9283,110,193,170,113,568,303.5405,180,203,127,58
22K222,P.S. 222 KATHERINE R. SNYDER,351,330.0627,23,81,123,124,349,316.3152,50,115,130,54
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,1825,330.5205,185,446,514,680,1783,316.4952,224,619,558,382
22K236,P.S. 236 MILL BASIN,285,321.5614,37,81,86,81,284,318.3239,37,98,106,43
22K240,ANDRIES HUDDE,889,294.9483,379,306,142,62,865,294.5861,275,375,167,48
22K245,P.S. 245,128,311.9609,25,42,43,18,127,305.1811,24,68,30,5
22K251,P.S. 251 PAERDEGAT,223,287.1704,100,85,36,2,223,289.7444,89,96,35,3
22K254,P.S. 254 DAG HAMMARSKJOLD,289,327.2734,26,73,93,97,283,316.636,42,103,88,50
22K255,P.S. 255 BARBARA REING SCHOOL,407,325.0516,39,104,137,127,389,309.3316,76,133,141,39
22K269,P.S. 269 NOSTRAND,383,278.7781,224,114,37,8,372,283.3333,198,116,47,11
22K277,P.S. 277 GERRITSEN BEACH,213,322.6291,24,59,71,59,214,317.271,38,65,75,36
22K278,J.H.S. 278 MARINE PARK,915,297.1858,292,449,131,43,1014,301.6923,240,458,223,93
22K312,P.S. 312 BERGEN BEACH,424,323.7524,49,114,133,128,422,313.3009,66,148,149,59
22K315,P.S. K315,388,291.518,154,152,64,18,383,290.0131,172,139,63,9
22K381,I. S. 381,349,299.341,107,165,57,20,347,298.366,87,192,48,20
23K041,P.S. 041 FRANCIS WHITE,358,285.0223,176,134,35,13,355,280.6648,186,139,25,5
23K073,P.S. 073 THOMAS S. BOYLAND,179,279.1844,98,67,13,1,181,277.0055,105,66,10,0
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,143,289.7692,63,54,17,9,160,286.1625,77,57,22,4
23K150,P.S. 150 CHRISTOPHER,96,259.3333,78,16,2,0,97,267.1546,69,25,3,0
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,311,279.9582,178,90,35,8,292,279.8288,153,107,28,4
23K156,P.S. 156 WAVERLY,350,287.2657,170,102,54,24,347,284.6772,174,114,47,12
23K165,P.S. 165 IDA POSNER,277,269.3394,193,59,24,1,278,278.1187,156,92,28,2
23K178,P.S. 178 SAINT CLAIR MCKELWAY,252,288.0635,116,86,43,7,247,286.6397,107,103,36,1
23K184,P.S. 184 NEWPORT,288,290.3958,121,108,50,9,286,284.5035,140,110,28,8
23K284,P.S. 284 LEW WALLACE,373,273.1796,231,104,33,5,366,277.1858,207,130,25,4
23K298,P.S. 298 DR. BETTY SHABAZZ,129,265.062,98,28,3,0,128,278.9531,74,45,9,0
23K323,P.S./I.S. 323,294,287.7211,132,112,44,6,291,295.4536,92,141,43,15
23K327,P.S. 327 DR. ROSE B. ENGLISH,364,275.7802,221,108,27,8,365,285.1836,164,156,38,7
23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,109,266.2661,86,20,3,0,106,261.434,87,18,1,0
23K392,I.S. 392,255,321.7686,11,96,111,37,257,320.0039,6,100,110,41
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,71,277.7606,44,20,6,1,73,282.6438,41,26,4,2
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,11,284.6364,5,4,1,1,11,310.8182,4,3,2,2
23K518,KAPPA V,204,290.3431,83,98,23,0,205,291.9415,62,123,17,3
23K522,MOTT HALL IV,179,288.5363,79,86,11,3,179,299.2737,37,114,25,3
23K631,GENERAL D. CHAPPIE JAMES ELEMENTARY SCHOOL OF SCIENCE,94,279.7872,58,18,13,5,90,283.5111,48,31,8,3
23K634,GENERAL D. CHAPPIE JAMES MIDDLE SCHOOL OF SCIENCE,70,273.3143,51,17,2,0,72,273.7778,47,21,4,0
23K644,EAGLE ACADEMY FOR YOUNG MEN II,218,291.367,90,93,26,9,219,291.2922,80,107,26,6
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),44,275.1591,21,22,1,0,45,281.1778,20,19,5,1
23K668,RIVERDALE AVENUE MIDDLE SCHOOL,40,289.8,17,16,7,0,38,286.8421,16,19,1,2
23K671,MOTT HALL BRIDGES ACADEMY,191,293.8586,82,73,30,6,193,291.8083,61,101,25,6
23K697,TEACHERS PREPARATORY HIGH SCHOOL,84,292.7738,36,31,16,1,83,288.3373,29,42,11,1
24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,1594,316.9987,262,563,447,322,1560,304.734,342,640,392,186
24Q007,P.S. 007 LOUIS F. SIMEONE,297,317.2054,39,75,118,65,289,304.7163,79,90,110,10
24Q012,P.S. 012 JAMES B. COLGATE,658,324.0015,63,187,219,189,638,310.8464,127,222,224,65
24Q013,P.S. 013 CLEMENT C. MOORE,733,315.9932,135,214,220,164,720,303.9514,211,259,179,71
24Q014,P.S. 014 FAIRVIEW,883,301.6976,281,293,195,114,862,294.0023,333,326,163,40
24Q016,P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,967,307.4054,242,348,219,158,952,297.1733,355,348,181,68
24Q019,P.S. 019 MARINO JEANTET,905,305.1315,233,359,201,112,880,293.8489,351,333,157,39
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,703,319.4523,83,237,226,157,729,315.0316,101,258,262,108
24Q058,P.S. 58 - THE SCHOOL OF HEROES,567,316.1323,109,162,153,143,561,310.1854,113,197,163,88
24Q061,I.S. 061 LEONARDO DA VINCI,2349,293.9825,897,949,377,126,2288,287.0782,906,1015,277,90
24Q068,P.S. 068 CAMBRIDGE,344,292.8634,135,120,69,20,331,288.6314,155,113,52,11
24Q071,P.S. 071 FOREST,448,309.1563,113,131,117,87,432,300.4583,130,167,103,32
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,1694,312.8566,353,602,457,282,1658,300.6423,419,732,374,133
24Q077,I.S. 077,1003,289.1047,434,405,136,28,1022,286.7309,417,466,104,35
24Q081,P.S. 81Q JEAN PAUL RICHTER,528,304.2311,134,215,122,57,522,291.4655,222,203,81,16
24Q087,P.S. / I.S. 087 MIDDLE VILLAGE,366,298.8224,124,139,69,34,367,302.455,94,144,99,30
24Q088,P.S. 088 SENECA,479,304.0793,134,146,138,61,456,298.7368,151,169,121,15
24Q089,P.S. 089 ELMHURST,975,306.5067,252,317,268,138,954,301.0168,279,389,217,69
24Q091,P.S. 091 RICHARD ARKWRIGHT,375,302.5893,111,148,74,42,371,300.7008,108,158,80,25
24Q093,I.S. 093 RIDGEWOOD,1029,302.9504,287,450,218,74,1108,296.12,322,524,199,63
24Q102,P.S. 102 BAYVIEW,801,317.8265,110,257,261,173,792,309.3649,146,319,221,106
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,644,319.9224,62,241,199,142,673,311.1412,107,281,214,71
24Q119,I.S. 119 THE GLENDALE,603,326.2438,108,163,102,230,780,321.5487,118,209,197,256
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,1423,310.7597,292,550,395,186,1608,302.2189,359,742,379,128
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",497,326.1288,44,129,176,148,552,317.7772,67,185,192,108
24Q143,P.S. 143 LOUIS ARMSTRONG,890,289.3809,394,308,148,40,857,281.4796,437,306,89,25
24Q153,P.S. 153 MASPETH ELEM,738,314.7588,137,246,188,167,729,310.3292,161,253,194,121
24Q199,P.S. 199 MAURICE A. FITZGERALD,372,307.3065,89,99,114,70,362,298.7238,112,130,94,26
24Q229,P.S. 229 EMANUEL KAPLAN,778,319.2905,115,227,228,208,773,311.3364,154,274,216,129
24Q239,P.S. 239,326,293.7485,127,107,65,27,317,290.4038,133,117,59,8
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,66,324.2576,8,13,17,28,66,317.1061,10,18,30,8
24Q305,LEARNERS AND LEADERS,85,311.6941,6,34,35,10,82,292.9146,29,32,21,0
24Q307,PIONEER ACADEMY,532,302.9756,145,193,140,54,524,291.4218,226,212,74,12
24Q311,CORONA ARTS AND SCIENCES ACADEMY,98,297.5102,31,41,16,10,90,293.5111,23,54,8,5
24Q330,P.S. 330,122,284.959,63,42,17,0,121,274.5207,83,28,10,0
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",108,333.0185,4,26,51,27,108,322.9722,2,36,54,16
24Q877,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),521,325.9655,70,124,153,174,507,304.785,124,204,123,56
25Q020,P.S. 020 JOHN BOWNE,656,326.8171,65,156,217,218,633,301.3697,177,258,161,37
25Q021,P.S. 021 EDWARD HART,641,326.0016,81,157,186,217,629,316.1479,110,200,192,127
25Q022,P.S. 022 THOMAS JEFFERSON,353,329.7422,27,98,101,127,340,313.1029,61,121,105,53
25Q024,P.S. 024 ANDREW JACKSON,487,331.9302,29,93,189,176,467,311.3619,94,157,157,59
25Q025,I.S. 025 ADRIEN BLOCK,670,323.1254,76,229,203,162,721,315.6352,83,268,237,133
25Q029,P.S. 029 QUEENS,335,306.6269,79,120,89,47,329,296.6353,122,117,73,17
25Q032,P.S. 032 STATE STREET,464,342.1164,24,68,120,252,455,322.8747,50,126,179,100
25Q079,P.S. 079 FRANCIS LEWIS,423,329.6667,35,102,131,155,414,315.4976,70,134,149,61
25Q107,P.S. 107 THOMAS A DOOLEY,440,319.2636,79,100,144,117,423,308.695,100,148,116,59
25Q120,P.S. 120 QUEENS,432,322.1042,56,111,141,124,411,302.0803,118,140,112,41
25Q129,P.S. 129 PATRICIA LARKIN,480,321.1938,53,141,172,114,467,309.6146,93,173,154,47
25Q130,P.S. 130,52,333.0577,4,8,15,25,52,311.1538,13,13,25,1
25Q154,P.S. 154 QUEENS,329,313.4255,62,96,115,56,323,302.5882,95,120,87,21
25Q163,P.S. 163 FLUSHING HEIGHTS,271,329.2288,23,55,98,95,262,312.2099,52,83,89,38
25Q164,P.S. 164 QUEENS VALLEY,355,324.5606,29,117,123,86,388,313.7397,53,149,124,62
25Q165,P.S. 165 EDITH K. BERGTRAUM,297,325.5421,54,66,73,104,292,310.3219,76,78,81,57
25Q169,P.S. 169 BAY TERRACE,164,325.3354,20,42,55,47,164,314.4695,29,64,52,19
25Q184,P.S. 184 FLUSHING MANOR,243,324.823,22,54,102,65,242,311.3884,41,82,100,19
25Q185,J.H.S. 185 EDWARD BLEEKER,1406,327.7639,182,354,424,446,1463,309.7177,314,508,347,294
25Q189,J.H.S. 189 DANIEL CARTER BEARD,660,307.5773,168,250,152,90,711,295.5035,222,290,138,61
25Q193,P.S. 193 ALFRED J. KENNEDY,199,321.4523,21,61,67,50,195,315.4821,27,63,73,32
25Q194,J.H.S. 194 WILLIAM CARR,1037,319.2449,173,322,285,257,1027,312.0672,161,399,276,191
25Q200,PS/MS 200 - THE POMONOK SCHOOL & STAR ACADEMY,290,300.0759,94,107,70,19,287,301.3031,69,131,71,16
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,206,299.6602,77,62,43,24,206,297.2039,76,73,48,9
25Q209,P.S. 209 CLEARVIEW GARDENS,306,333.9641,31,62,81,132,305,319.5934,51,82,102,70
25Q214,P.S. 214 CADWALLADER COLDEN,207,318.9807,35,56,57,59,195,308.5487,42,74,58,21
25Q219,P.S. 219 PAUL KLAPPER,321,318.352,47,111,89,74,345,304.4696,77,146,99,23
25Q237,I.S. 237,1028,321.1255,164,300,296,268,1128,298.9796,328,439,231,130
25Q242,P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOOL,69,334.7971,4,13,21,31,68,314.5735,14,19,28,7
25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,68,339.3088,1,10,21,36,68,330.1176,6,7,46,9
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,316,297.6456,111,130,52,23,299,291.9164,98,143,48,10
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",233,308.3219,49,100,61,23,260,309.3808,45,105,79,31
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,176,334.7102,17,28,51,80,264,310.4205,49,99,69,47
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,222,315.4414,25,105,65,27,225,314.7111,16,107,77,25
25Q294,BELL ACADEMY,295,314.5627,65,104,61,65,356,313.4916,57,123,114,62
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",321,334.3769,22,65,95,139,321,324.0031,22,100,122,77
26Q018,P.S. 018 WINCHESTER,232,325.2974,16,71,71,74,234,312.6368,37,85,92,20
26Q026,P.S. 026 RUFUS KING,272,328.6213,23,69,88,92,270,313.0741,42,102,93,33
26Q031,P.S. 031 BAYSIDE,242,334.8595,11,49,86,96,235,313.8085,33,88,93,21
26Q041,P.S. 041 CROCHERON,273,343.1795,9,32,83,149,270,326.9852,17,66,119,68
26Q046,P.S. 046 ALLEY POND,274,338.8942,15,50,73,136,270,317.5556,42,85,92,51
26Q067,J.H.S. 067 LOUIS PASTEUR,867,341.3633,35,161,275,396,857,323.3034,61,260,297,239
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,847,338.1617,41,169,265,372,971,324.2976,73,290,316,292
26Q094,P.S. 094 DAVID D. PORTER,212,331.9245,8,51,80,73,210,317.381,28,75,73,34
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,119,331.8403,5,22,48,44,119,327.437,6,33,55,25
26Q115,P.S. 115 THE JAMES J. AMBROSE SCHOOL,282,339.5071,13,52,79,138,278,323.5899,31,80,107,60
26Q133,P.S. 133 QUEENS,193,334.1969,9,33,73,78,190,315.8368,23,71,73,23
26Q158,M.S. 158 MARIE CURIE,948,329.7257,85,245,302,316,1092,318.3123,122,375,337,258
26Q159,P.S. 159,288,333.2188,21,57,85,125,281,320.8399,33,71,128,49
26Q162,P.S. 162 JOHN GOLDEN,351,336.6097,18,64,109,160,347,319.3545,32,128,132,55
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,794,319.9433,88,296,223,187,946,314.9112,103,368,307,168
26Q173,P.S. 173 FRESH MEADOWS,466,336.397,33,76,150,207,458,319.8035,57,128,187,86
26Q178,P.S./ IS 178 HOLLISWOOD,294,325.0612,28,77,108,81,356,310.6601,51,157,113,35
26Q186,P.S. 186 CASTLEWOOD,135,326.6519,10,34,51,40,135,320.7333,15,36,61,23
26Q188,P.S. 188 KINGSBURY,270,351.1148,7,23,64,176,267,331.3446,15,54,123,75
26Q191,P.S. 191 MAYFLOWER,184,328.1902,10,43,81,50,182,320.467,15,49,86,32
26Q203,P.S. 203 OAKLAND GARDENS,420,351.9095,10,30,122,258,416,334.0673,20,80,173,143
26Q205,P.S. 205 ALEXANDER GRAHAM BELL,138,349.3696,5,10,39,84,138,330.1232,5,39,57,37
26Q213,P.S. 213 THE CARL ULLMAN SCHOOL,172,331.5116,10,44,49,69,170,324.0471,19,44,69,38
26Q216,J.H.S. 216 GEORGE J. RYAN,1180,331.3602,89,326,344,421,1299,318.2979,122,468,420,289
26Q221,P.S. 221 THE NORTH HILLS SCHOOL,309,343.5178,12,44,83,170,306,326.0458,30,84,117,75
26Q266,P.S. / I.S. 266,439,330.4374,27,113,150,149,438,316.7511,52,156,155,75
27Q042,P.S./M.S 042 R. VERNAM,353,267.2153,258,77,16,2,409,273.4548,266,117,20,6
27Q043,P.S. 043,593,286.0506,282,215,67,29,618,286.6408,280,248,72,18
27Q045,P.S. 045 CLARENCE WITHERSPOON,210,295.5143,75,80,42,13,209,292.6507,77,100,23,9
27Q047,P.S. 047 CHRIS GALAS,110,324.4182,7,30,43,30,126,315.246,12,58,39,17
27Q053,M.S. 053 BRIAN PICCOLO,365,270.2274,258,97,9,1,343,273.6064,209,113,18,3
27Q056,P.S. 056 HARRY EICHLER,303,310.2772,72,90,81,60,291,301.6254,90,103,76,22
27Q060,P.S. 060 WOODHAVEN,541,323.305,65,149,184,143,533,298.848,169,221,106,37
27Q062,P. S. 62 - CHESTER PARK SCHOOL,441,311.4694,80,157,133,71,435,303.7172,125,158,118,34
27Q063,P.S. 063 OLD SOUTH,635,311.0693,134,205,189,107,615,300.0455,184,242,149,40
27Q064,P.S. 064 JOSEPH P. ADDABBO,311,305.4244,78,116,73,44,299,301.3411,88,112,82,17
