DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
27Q065,P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL,266,308.0526,57,102,70,37,257,297.0078,88,104,54,11
27Q066,P.S. 066 JACQUELINE KENNEDY ONASSIS,242,313.6818,41,103,54,44,237,307.9747,48,104,61,24
27Q090,P.S. 090 HORACE MANN,396,309.8662,86,129,127,54,390,301.5821,125,145,96,24
27Q096,P.S. 096,144,311.0417,28,59,30,27,144,300,47,52,35,10
27Q097,P.S. 097 FOREST PARK,309,309.5858,74,93,88,54,303,301.9076,81,128,74,20
27Q100,P.S. 100 GLEN MORRIS,487,318.2669,64,174,139,110,485,303.0784,147,175,109,54
27Q104,P.S. 104 THE BAYS WATER,292,289.3322,132,81,55,24,286,284.9196,143,86,49,8
27Q105,P.S. 105 THE BAY SCHOOL,489,279.0245,298,156,31,4,510,278.8078,279,199,29,3
27Q106,P.S. 106,103,277.6019,63,27,11,2,103,283.8835,51,40,10,2
27Q108,P.S. 108 CAPTAIN VINCENT G. FOWLER,649,321.6133,82,194,191,182,642,313.4143,113,249,184,96
27Q114,P.S. / M.S. 114 BELLE HARBOR,410,318.5171,50,143,137,80,407,314.2654,56,145,148,58
27Q123,P.S. 123,315,297.6635,103,129,62,21,308,291.7208,136,113,51,8
27Q124,P.S. 124 OSMOND A CHURCH,866,307.7067,216,320,194,136,929,302.2756,261,378,201,89
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,1679,300.3282,541,657,298,183,1880,298.3383,480,879,401,120
27Q146,P.S. 146 HOWARD BEACH,433,307.3995,84,187,115,47,433,303.0092,99,189,117,28
27Q155,P.S. 155,250,304.6,59,108,57,26,248,303.5565,58,115,63,12
27Q183,P.S. 183 DR. RICHARD R. GREEN,304,277.4901,190,82,26,6,326,280.2362,178,121,22,5
27Q197,P.S. 197 THE OCEAN SCHOOL,221,279.6109,115,85,18,3,215,274.5349,132,66,15,2
27Q202,J.H.S. 202 ROBERT H. GODDARD,949,298.6607,297,397,200,55,1030,301.2485,251,470,213,96
27Q207,P.S. 207 ROCKWOOD PARK,498,320.8414,64,140,180,114,498,311.3273,73,218,151,56
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,1794,299.4443,573,728,348,145,1837,297.3963,490,843,381,123
27Q215,P.S. 215 LUCRETIA MOTT,165,268.2,117,37,11,0,159,275.7799,94,52,12,1
27Q223,P.S. 223 LYNDON B. JOHNSON,267,290.3221,134,64,53,16,265,287.8264,128,82,40,15
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,1165,284.4352,610,367,145,43,1142,284.7224,515,443,144,40
27Q232,P.S. 232 LINDENWOOD,642,314.2352,132,213,165,132,671,313.1908,121,248,197,105
27Q253,P.S. 253,228,290.2763,96,79,40,13,222,284.1802,113,71,36,2
27Q254,P.S. 254 - THE ROSA PARKS SCHOOL,312,328.9103,10,76,137,89,309,312.6602,40,140,97,32
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,181,303.7459,37,95,44,5,181,303.3315,32,99,42,8
27Q273,P.S. 273,43,311.3488,4,14,23,2,42,302.8571,13,14,14,1
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,176,299.0625,47,95,30,4,257,301.0545,48,152,48,9
27Q297,HAWTREE CREEK MIDDLE SCHOOL,93,286.7097,44,35,11,3,91,286.3187,39,43,7,2
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,254,309.4213,52,91,69,42,245,302.5061,69,94,66,16
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,212,279.8868,117,85,10,0,212,284.0991,96,91,17,8
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,175,292.3429,72,58,31,14,174,290.9713,77,57,31,9
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,173,275.6474,108,49,16,0,172,285.1977,73,72,24,3
27Q319,VILLAGE ACADEMY,315,283.0603,166,115,32,2,315,275.4222,181,115,15,4
27Q323,SCHOLARS' ACADEMY,522,348.0709,1,37,193,291,784,338.1122,1,102,365,316
27Q333,GOLDIE MAPLE ACADEMY,285,300.7404,90,120,47,28,286,302.2448,71,129,72,14
27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,65,294.8308,22,28,12,3,65,294.2769,27,28,10,0
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,553,277.9439,344,156,43,10,540,279.0444,296,181,50,13
28Q040,P.S. 040 SAMUEL HUNTINGTON,252,288.373,125,67,36,24,249,280.6345,144,85,17,3
28Q048,P.S. 048 WILLIAM WORDSWORTH,191,289.6387,92,55,22,22,185,293.7676,71,67,39,8
28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,363,311.8402,61,142,99,61,354,297.7119,118,143,79,14
28Q054,P.S. 054 HILLSIDE,247,307.0567,58,82,72,35,242,294.8388,80,102,49,11
28Q055,P.S. 055 MAURE,228,301.7412,79,74,54,21,225,294.9022,74,97,47,7
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,816,282.3701,442,281,75,18,840,281.2417,401,347,81,11
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,249,287.6707,112,94,34,9,249,287.0763,117,97,29,6
28Q082,P.S. 082 HAMMOND,313,289.5272,135,124,29,25,303,294.2013,123,115,50,15
28Q086,P.S. Q086,319,312.5204,81,83,75,80,299,300.4716,88,115,70,26
28Q099,P.S. 099 KEW GARDENS,459,321.4553,58,138,133,130,448,306.1161,109,167,133,39
28Q101,P.S. 101 SCHOOL IN THE GARDENS,285,341.4105,10,48,88,139,283,327.4134,22,73,106,82
28Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,480,312.5,106,134,140,100,470,299.1617,157,152,134,27
28Q121,P.S. 121 QUEENS,408,327.7157,30,106,136,136,405,307.2617,87,169,110,39
28Q139,P.S. 139 REGO PARK,410,323.0171,66,105,119,120,397,310.9521,82,154,106,55
28Q140,P.S. 140 EDWARD K ELLINGTON,281,289.0142,126,105,39,11,275,286.1455,131,103,38,3
28Q144,P.S. 144 COL JEROMUS REMSEN,326,333.3405,38,55,92,141,321,321.6885,53,67,119,82
28Q157,J.H.S. 157 STEPHEN A. HALSEY,1192,318.6946,236,371,270,315,1352,310.9926,255,476,343,278
28Q160,P.S. 160 WALTER FRANCIS BISHOP,276,294.6196,100,118,44,14,274,290.4161,125,101,43,5
28Q161,P.S. 161 ARTHUR ASHE SCHOOL,294,321.2109,33,99,89,73,291,312.5842,47,108,105,31
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,308,305.2435,90,112,66,40,353,301.6346,85,152,80,36
28Q174,P.S. 174 WILLIAM SIDNEY MOUNT,300,329.58,26,85,80,109,296,317.9865,47,85,106,58
28Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,339,317.9469,53,90,113,83,337,307.7715,78,118,109,32
28Q182,P.S. 182 SAMANTHA SMITH,523,291.6922,203,192,98,30,508,286.4587,244,173,80,11
28Q190,J.H.S. 190 RUSSELL SAGE,995,320.6744,181,308,225,281,968,308.5744,198,358,237,175
28Q196,P.S. 196 GRAND CENTRAL PARKWAY,346,346.5058,13,41,97,195,338,326.9645,35,73,139,91
28Q206,P.S. 206 THE HORACE HARDING SCHOOL,283,301.7032,99,90,59,35,275,292.6727,118,90,48,19
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,1255,295.5323,476,448,219,112,1564,296.062,467,669,325,103
28Q220,P.S. 220 EDWARD MANDEL,321,310.3302,76,103,63,79,321,299.7508,115,97,75,34
28Q284,YORK EARLY COLLEGE ACADEMY,209,320.7751,33,60,62,54,267,312.8352,25,118,86,38
28Q287,THE EMERSON SCHOOL,100,296.61,29,48,13,10,97,289.9794,34,50,7,6
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,32,342.375,0,4,10,18,32,355.6875,0,1,16,15
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,237,301.0549,80,89,49,19,237,296.8945,64,128,33,12
28Q354,PS 354,149,291.0604,52,72,20,5,148,293.3041,58,62,23,5
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,285,334.0702,15,59,109,102,284,330.0352,9,58,126,91
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",189,307.7196,45,81,44,19,216,318.5278,20,72,86,38
29Q015,P.S. 015 JACKIE ROBINSON,215,301.8465,64,71,54,26,215,294.2837,81,83,44,7
29Q033,P.S. 033 EDWARD M. FUNK,506,304.5889,129,191,125,61,502,297.8825,158,206,117,21
29Q034,P.S. 034 JOHN HARVARD,259,302.5444,67,100,66,26,247,297.4534,84,100,51,12
29Q035,P.S. 035 NATHANIEL WOODHULL,304,301.9901,90,105,67,42,296,298.1453,99,109,74,14
29Q036,P.S. 036 SAINT ALBANS SCHOOL,230,289.4522,101,85,38,6,229,295.3493,90,87,48,4
29Q037,CYNTHIA JENKINS SCHOOL,240,285.65,118,76,33,13,238,292.8866,94,92,36,16
29Q038,P.S. 038 ROSEDALE,111,302.5676,27,48,21,15,111,298.973,35,48,20,8
29Q052,P.S. 052 QUEENS,216,287.0463,101,68,39,8,215,290.2884,91,78,39,7
29Q059,I.S. 059 SPRINGFIELD GARDENS,529,284.1418,267,202,53,7,557,288.1131,228,243,61,25
29Q095,P.S. 095 EASTWOOD,765,302.4065,242,234,173,116,737,295.6757,287,241,165,44
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,1070,297.5112,381,436,171,82,1057,295.5544,315,476,208,58
29Q116,PS/IS 116 WILLIAM C. HUGHLEY,369,283.9729,192,126,45,6,369,286.0217,178,143,37,11
29Q118,P.S. 118 LORRAINE HANSBERRY,272,293.5919,101,104,52,15,261,293.046,100,109,43,9
29Q131,P.S. 131 ABIGAIL ADAMS,420,330.4048,40,96,129,155,410,314.1073,64,157,130,59
29Q132,P.S. 132 RALPH BUNCHE,138,308.7174,33,47,33,25,136,299.8676,38,54,41,3
29Q134,P.S. 134 HOLLIS,228,280.9518,119,83,24,2,227,284.37,101,91,32,3
29Q135,THE BELLAIRE SCHOOL,480,306.3833,145,140,113,82,479,304.1232,131,179,124,45
29Q136,P.S. 136 ROY WILKINS,258,297.9186,80,113,50,15,255,300.7765,71,114,60,10
29Q138,P.S./ M.S.138 SUNRISE,482,280.1556,277,151,45,9,535,285.5215,242,221,67,5
29Q147,PS/MS 147 RONALD MCNAIR,430,284.2,221,143,55,11,427,291.459,171,169,75,12
29Q156,P.S. 156 LAURELTON,321,280.4766,183,104,27,7,328,288.9634,138,133,48,9
29Q176,P.S. 176 CAMBRIA HEIGHTS,346,311.789,87,93,93,73,348,316.6034,55,111,121,61
29Q181,P.S. 181 BROOKFIELD,170,298.6588,50,65,43,12,168,293.7321,64,68,32,4
29Q192,I.S. 192 THE LINDEN,514,281.9611,277,187,48,2,509,281.9096,245,207,48,9
29Q195,P.S. 195 WILLIAM HABERLE,301,288.0764,146,97,44,14,297,295.2761,109,109,57,22
29Q208,P.S. / I.S. 208,507,314.568,86,182,151,88,508,308.7244,93,212,140,63
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,1496,289.3971,698,518,187,93,1457,286.8538,620,585,198,54
29Q251,P.S. 251 QUEENS,69,307.5507,14,20,29,6,69,306.8696,13,31,24,1
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,200,295.54,68,86,41,5,201,298.1045,53,103,41,4
29Q268,PS/IS 268,373,301.5469,130,121,79,43,380,299.4237,106,171,81,22
29Q270,THE GORDON PARKS SCHOOL,413,300.1913,111,190,78,34,412,301.966,114,169,105,24
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,176,309.0739,30,85,43,18,175,304.1886,35,81,44,15
29Q289,QUEENS UNITED MIDDLE SCHOOL,76,291.25,30,35,7,4,76,290.4079,20,43,10,3
29Q295,P.S./I.S. 295,336,312.9345,60,114,115,47,342,309.4942,73,120,102,47
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,250,294.632,91,118,36,5,251,292.7849,83,131,32,5
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,448,283.0357,239,168,33,8,445,279.9213,228,179,33,5
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,458,278.3974,280,151,26,1,461,284.8482,200,210,41,10
30Q002,P.S. 002 ALFRED ZIMBERG,332,312.7139,68,101,95,68,324,305.1667,85,114,103,22
30Q010,I.S. 010 HORACE GREELEY,894,302.8087,267,345,207,75,882,294.4762,280,394,162,46
30Q011,P.S. 011 KATHRYN PHELAN,750,307.616,201,238,174,137,739,302.3545,209,280,175,75
30Q017,P.S. 017 HENRY DAVID THOREAU,226,292.1549,84,90,36,16,224,288.5759,100,72,44,8
30Q069,P.S. 069 JACKSON HEIGHTS,705,318.2752,105,226,219,155,692,315.6026,99,255,226,112
30Q070,P.S. 070,450,312.4756,90,141,130,89,444,306.9257,104,175,118,47
30Q076,P.S. 076 WILLIAM HALLET,212,289.8868,90,67,50,5,212,284.6415,98,81,27,6
30Q078,P.S./I.S. 78Q,150,320.8733,20,47,42,41,146,315.363,22,61,38,25
30Q084,P.S. 084 STEINWAY,178,305.8483,38,78,44,18,177,303.661,39,86,40,12
30Q085,P.S. 085 JUDGE CHARLES VALLONE,219,328.7215,45,37,45,92,216,318.0463,46,55,61,54
30Q092,P.S. 092 HARRY T. STEWART SR.,416,290.8269,169,155,68,24,414,286.6449,200,147,55,12
30Q111,P.S. 111 JACOB BLACKWELL,239,274.8954,145,72,15,7,236,270.8432,142,74,19,1
30Q112,P.S. 112 DUTCH KILLS,217,298.3641,79,69,46,23,205,288.3561,92,75,28,10
30Q122,P.S. 122 MAMIE FAY,723,335.1328,80,133,164,346,801,332.0974,92,144,208,357
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,486,286.8539,244,170,35,37,511,285.3033,232,201,63,15
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNE,852,289.1667,389,297,118,48,832,285.2079,394,307,119,12
30Q141,I.S. 141 THE STEINWAY,1118,317.6485,155,401,353,209,1177,309.9652,168,516,336,157
30Q145,I.S. 145 JOSEPH PULITZER,2043,298.7347,718,831,358,136,1962,291.2283,674,955,263,70
30Q148,P.S. 148 QUEENS,451,302.8248,120,195,91,45,437,293.1785,178,183,65,11
30Q149,P.S. 149 CHRISTA MCAULIFFE,776,307.5606,184,267,222,103,757,292.679,315,276,134,32
30Q150,P.S. 150 QUEENS,593,326.2867,65,154,182,192,585,311.4872,109,218,177,81
30Q151,P.S. 151 MARY D. CARTER,209,286.4402,96,65,32,16,206,281.4757,106,71,21,8
30Q152,P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,640,317.4875,99,196,192,153,627,309.1675,132,234,188,73
30Q166,P.S. 166 HENRY GRADSTEIN,504,313.2282,93,146,153,112,497,307.0543,112,183,161,41
30Q171,P.S. 171 PETER G. VAN ALST,240,294.5417,88,86,44,22,241,289.5062,94,104,33,10
30Q204,I.S. 204 OLIVER W. HOLMES,676,297.5251,256,253,104,63,668,291.7485,223,313,111,21
30Q212,P.S. 212,385,310.0623,77,141,110,57,384,303.2578,106,146,106,26
30Q227,I.S. 227 LOUIS ARMSTRONG,1426,324.641,104,474,543,305,1516,312.407,163,689,481,183
30Q230,I.S. 230,980,319.0316,145,322,323,190,976,305.6957,179,444,244,109
30Q234,P.S. 234,293,308.884,73,95,75,50,284,302.5458,90,95,72,27
30Q235,ACADEMY FOR NEW AMERICANS,222,283.7883,114,82,17,9,72,245.4306,64,7,1,0
30Q280,P.S. 280,100,299.04,26,42,22,10,96,287.5625,51,24,21,0
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",250,315.736,36,96,86,32,249,307.5221,29,133,64,23
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,89,305.5955,21,34,20,14,90,305.9778,18,40,18,14
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,84,356.0357,0,2,19,63,192,347.8333,0,8,77,107
31R001,P.S. 001 TOTTENVILLE,247,312.6721,41,91,74,41,246,312.8496,44,83,87,32
31R002,I.S. R002 GEORGE L. EGBERT,789,294.18,319,298,111,61,875,302.0194,194,420,183,78
31R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,502,323.0398,52,125,184,141,501,315.1756,87,164,173,77
31R004,P.S. 004 MAURICE WOLLIN,374,313.0722,69,116,112,77,374,308.7727,75,148,110,41
31R005,P.S. 005 HUGUENOT,91,323.5714,11,21,35,24,91,321.5275,7,33,37,14
31R006,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,406,305.7833,105,144,97,60,406,301.7906,111,161,103,31
31R007,I.S. 007 ELIAS BERNSTEIN,1130,323.9389,97,407,342,284,1198,318.0484,100,452,416,230
31R008,P.S. 8 SHIRLEE SOLOMON,199,314.8543,34,67,59,39,199,303.5126,53,75,59,12
31R011,P.S. 11 THOMAS DONGAN SCHOOL,132,301.2803,47,45,25,15,130,297.4923,42,57,22,9
31R013,P.S. 013 M. L. LINDEMEYER,396,307.7525,96,132,115,53,393,303.028,110,145,109,29
31R014,P.S. 014 CORNELIUS VANDERBILT,199,275.1357,127,51,14,7,202,276.4505,112,72,17,1
31R016,P.S. 016 JOHN J. DRISCOLL,380,282.2474,205,120,43,12,384,279.4063,219,126,36,3
31R018,P.S. 018 JOHN G. WHITTIER,276,293.4565,114,101,47,14,274,285.5109,140,96,34,4
31R019,P.S. 019 THE CURTIS SCHOOL,264,303.2462,67,107,69,21,261,300.7471,74,116,58,13
31R020,P.S. 020 PORT RICHMOND,246,290.435,106,86,47,7,243,283.0947,123,98,19,3
31R021,P.S. 21 MARGARET EMERY-ELM PARK,225,285.9022,107,74,36,8,224,286.5,102,90,29,3
31R022,P.S. 022 GRANITEVILLE,510,295.9098,183,174,120,33,500,292.012,211,185,93,11
31R023,P.S. 023 RICHMONDTOWN,245,330.8041,14,61,88,82,243,314.037,49,77,77,40
31R024,I.S. 024 MYRA S. BARNES,1375,313.4175,239,529,392,215,1371,306.8753,252,593,356,170
31R026,P.S. 026 THE CARTERET SCHOOL,87,306.8621,22,26,25,14,84,305.8095,23,27,21,13
31R027,I.S. 027 ANNING S. PRALL,1132,292.0504,490,381,171,90,1112,294.1763,377,463,188,84
31R029,P.S. 029 BARDWELL,400,315.9075,62,137,118,83,397,315.6625,71,131,120,75
31R030,P.S. 030 WESTERLEIGH,409,312.6088,80,124,127,78,408,304.0245,99,164,110,35
31R031,P.S. 031 WILLIAM T. DAVIS,203,280.3547,111,68,20,4,205,277.3951,120,65,17,3
31R032,P.S. 032 THE GIFFORD SCHOOL,413,311.6513,91,121,117,84,404,306.4109,87,158,118,41
31R034,I.S. 034 TOTTENVILLE,1040,316.0452,124,449,326,141,1138,313.7891,124,480,349,185
31R035,P.S. 35 THE CLOVE VALLEY SCHOOL,174,323.2241,19,52,58,45,174,320.8678,21,57,64,32
31R036,P.S. 036 J. C. DRUMGOOLE,454,318.9295,69,126,163,96,451,313.408,81,148,155,67
31R038,P.S. 038 GEORGE CROMWELL,166,316.9217,23,50,59,34,164,310.7805,29,60,63,12
31R039,P.S. 39 FRANCIS J. MURPHY JR.,254,314.2126,51,84,55,64,254,307.9843,58,90,80,26
31R041,THE STEPHANIE A. VIERNO SCHOOL,317,308.8391,71,99,93,54,314,303.6146,90,112,78,34
31R042,P.S. 042 ELTINGVILLE,434,318.0276,61,139,135,99,437,310.4165,75,181,143,38
31R044,P.S. 044 THOMAS C. BROWN,386,280.8886,218,110,41,17,383,279.4334,214,129,37,3
31R045,P.S. 045 JOHN TYLER,426,299.946,134,146,102,44,423,296.409,148,153,100,22
31R046,P.S. 046 ALBERT V. MANISCALCO,162,296.2346,60,60,32,10,158,290.2722,69,62,22,5
31R048,P.S. 048 WILLIAM G. WILCOX,409,324.9951,43,100,132,134,410,319.7902,52,134,136,88
31R049,I.S. 49 BERTA A. DREYFUS,750,280.0653,438,228,57,27,771,280.5175,393,281,65,32
31R050,P.S. 050 FRANK HANKINSON,396,337.8258,34,77,96,189,396,323.4419,55,113,126,102
31R051,I.S. 051 EDWIN MARKHAM,1054,284.8624,538,384,99,33,1106,289.9629,421,453,178,54
31R052,P.S. 052 JOHN C. THOMPSON,259,305.7529,63,89,73,34,260,302.1615,65,112,62,21
31R053,P.S. 053 THE BARBARA ESSELBORN SCHOOL,269,319.145,36,75,97,61,268,311.2052,52,96,90,30
31R054,P.S. 054 CHARLES W. LENG,381,324.7927,46,89,136,110,382,310.4791,81,140,109,52
31R055,P.S. 055 HENRY M. BOEHM,318,314.6761,48,107,104,59,320,306.4094,85,108,105,22
31R056,P.S. 56 THE LOUIS DESARIO SCHOOL,356,320.9129,35,106,138,77,353,312.4278,43,158,127,25
31R057,P.S. 057 HUBERT H. HUMPHREY,252,276.4286,145,78,21,8,251,282.4263,128,73,44,6
31R058,SPACE SHUTTLE COLUMBIA SCHOOL,377,307.4668,85,137,106,49,378,304.3968,104,132,115,27
31R060,P.S. 060 ALICE AUSTEN,422,308.9479,91,140,126,65,421,303.81,118,161,104,38
31R061,I.S. 061 WILLIAM A MORRIS,1155,285.1628,589,386,146,34,1145,289.6559,444,463,172,66
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,402,312.4701,57,179,118,48,438,310.1142,71,174,129,64
31R065,P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,190,305.9895,44,75,55,16,190,309.2684,36,73,59,22
31R069,P.S. 069 DANIEL D. TOMPKINS,450,309.5356,106,142,123,79,444,305.6622,125,152,109,58
31R072,I.S. 072 ROCCO LAURIE,1254,311.6475,268,415,367,204,1236,302.7872,267,549,299,121
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,74,275.1622,51,14,5,4,68,271.0294,42,19,6,1
31R075,I.S. 075 FRANK D. PAULO,1232,319.6169,151,473,350,258,1329,311.2378,197,547,382,203
31R078,PS 78,93,277.5161,53,30,10,0,93,270.9032,65,26,2,0
31R080,THE MICHAEL J. PETRIDES SCHOOL,568,315.118,84,212,168,104,570,306.4877,117,239,167,47
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,489,318.5767,67,158,163,101,488,306.0717,97,214,138,39
32K045,P.S./I.S. 045 HORACE E. GREENE,467,297.6938,162,177,96,32,467,290.8715,190,192,70,15
32K075,P.S. 075 MAYDA CORTIELLA,244,287.4426,109,83,42,10,241,284.7676,119,88,29,5
32K086,P.S. 086 THE IRVINGTON,228,294.6798,90,84,33,21,223,291.4484,99,78,39,7
32K106,P.S. 106 EDWARD EVERETT HALE,256,286.8125,110,102,37,7,248,279.2944,135,90,20,3
32K116,P.S. 116 ELIZABETH L FARRELL,233,300.3476,79,79,48,27,227,287.3656,110,75,35,7
32K123,P.S. 123 SUYDAM,376,293.5878,143,154,59,20,369,284.3117,192,134,41,2
32K145,P.S. 145 ANDREW JACKSON,355,291.6085,142,128,64,21,346,285.9364,163,133,46,4
32K151,P.S. 151 LYNDON B. JOHNSON,169,281.4556,89,59,19,2,167,279.6826,102,50,15,0
32K162,J.H.S. 162 THE WILLOUGHBY,447,289.3781,193,181,60,13,445,282.8539,198,201,39,7
32K274,P.S. 274 KOSCIUSKO,245,296.2082,90,82,52,21,240,282.7958,121,82,33,4
32K291,J.H.S. 291 ROLAND HAYES,474,274.1203,315,131,24,4,462,275.6147,252,184,24,2
32K299,P.S. 299 THOMAS WARREN FIELD,142,298.1972,54,42,22,24,142,287.7676,68,42,25,7
32K347,I.S. 347 SCHOOL OF HUMANITIES,371,285.5499,182,134,45,10,365,278.3753,188,138,34,5
32K349,"I.S. 349 MATH, SCIENCE & TECH.",388,283.951,211,136,35,6,370,277.1838,217,128,24,1
32K376,P.S. 376,314,293.0255,133,95,60,26,308,289.9416,135,105,53,15
32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,313,284.9201,143,133,33,4,311,277.8264,171,117,22,1
32K383,J.H.S. 383 PHILIPPA SCHUYLER,741,307.5668,132,378,168,63,868,313.6555,72,395,300,101
32K384,P.S. /I.S. 384 FRANCES E. CARTER,378,289.0608,165,133,61,19,397,293.7431,142,162,75,18
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,118,329.5169,2,31,53,32,183,322.153,13,59,73,38
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,231,269.3723,162,65,4,0,224,271.4688,145,71,8,0
